logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,線形状情報数,ライン型地物ID,3D地物属性オプションフラグ,Type,形状要素点数,緯度[deg],経度[deg],高さ[m]
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12585783845881,139.62785966220028,53.46
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12586253232459,139.62783216955788,53.44
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12586655563811,139.6278050121916,53.43
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12587057895164,139.62777718427307,53.43
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12587292588453,139.62774935635454,53.42
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12587527281742,139.62772219898824,53.41
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12587795502643,139.6276943710697,53.4
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12588164306383,139.62763871523265,53.4
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12588466054897,139.62758540632845,53.41
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12588801331024,139.6275297504914,53.43
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12589069551925,139.62747510048268,53.46
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.125894718832775,139.62742112102626,53.51
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12589840687017,139.62737049433107,53.56
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.1259024301837,139.62732053818817,53.61
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12590779460173,139.62727024676914,53.67
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12591215319138,139.6272427541267,53.71
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12591651178103,139.62721559676044,53.75
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.125922211475185,139.62718709828965,53.79
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12592824644547,139.6271602761995,53.82
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12593327558738,139.62713881852738,53.85
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.12593964583379,139.62711266698946,53.89
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.12580184734561,139.6278734085215,53.26
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.125806876487516,139.62784591587908,53.28
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.125811905629426,139.62781406464703,53.28
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.12581559366682,139.6277812075866,53.29
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.12581928170422,139.6277486858023,53.31
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.125822634465486,139.62771616401795,53.34
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.12582431084612,139.62770074131612,53.32
1739214,0x3af90,False,308,14968,22048,1,4,1.748801387019386e+18,0,0,30,36.125825987226754,139.6276994002116,53.32
