logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,道路標示物情報数,道路標示ID,交通ペイント種別,MMS測位誤差[mm],レーザー測位誤差[mm],座標点数,緯度[deg],経度[deg],楕円体高[cm]
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12554737276527,139.6285929110899,5376
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12553228533955,139.628606322135,5377
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550781018229,139.62862845035937,5378
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12547160036058,139.6286613074198,5379
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125435725814995,139.6286938292041,5380
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12539817488878,139.62872735681682,5383
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1253623003432,139.62875987860113,5385
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125325419969236,139.62879273566156,5388
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125288874871394,139.62882492216974,5390
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12525232977356,139.62885744395408,5392
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12521611995185,139.62888963046225,5393
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1251805806824,139.62892081114205,5393
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12514437086069,139.62895333292636,5392
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12510782576285,139.62898551943456,5393
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125070945388885,139.62901804121887,5394
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12503339446267,139.6290495571748,5394
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12499718464096,139.62908274951135,5394
1738820,0x3af7d,False,308,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.124961645371506,139.62911258908667,5394
