logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Lane Line形状情報数,Lane Line ID,形状要素点数,緯度[deg],経度[deg],高さ[m]
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11457549643576,-117.97792796929784,87.372
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11464288693728,-117.97787600149817,87.607
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.1147100259817,-117.97782311168915,87.849
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.114739865557,-117.97779939090316,87.962
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.114769621313265,-117.97777567011718,88.075
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.114776997388056,-117.9777696351469,88.103
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11479183335667,-117.9777577328444,88.157
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11482142147487,-117.97773359296325,88.262
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11484354969925,-117.9777154880524,88.337
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11485092577404,-117.97770936926308,88.361
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.114909515277226,-117.97766041894855,88.568
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11505468984019,-117.97753519331513,89.178
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11509073202384,-117.97750334208307,89.314
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11511939813269,-117.9774777772784,89.418
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11513373118712,-117.97746495296654,89.47
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11514798042251,-117.97745204483566,89.522
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11517639507427,-117.97742622857388,89.627
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.1151976012893,-117.97740669873949,89.706
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.115260968477294,-117.97734752250308,89.945
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11528200705426,-117.97732757357353,90.025
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11414441515555,-117.97818663482978,85.746
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.114214487866086,-117.97814028290523,86.005
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11428380620533,-117.97809334424745,86.256
