logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,552.0,214.0,3221291520.0,2,48,15,15
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,551.0,218.0,3221291776.0,1,16,20,20
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,649.0,187.0,3221291776.0,1,32,20,20
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,642.0,188.0,3221291520.0,2,48,15,15
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,552.0,214.0,3221291520.0,2,48,15,15
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,551.0,218.0,3221291776.0,1,16,20,20
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,498.0,184.0,3221291776.0,1,32,20,20
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,603.0,186.0,3221291520.0,2,48,15,15
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,559.0,214.0,3221291520.0,2,48,15,15
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,561.0,218.0,3221291776.0,1,16,20,20
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,498.0,184.0,3221291776.0,1,32,20,20
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,603.0,186.0,3221291520.0,2,48,15,15
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,559.0,214.0,3221291520.0,2,48,15,15
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,561.0,218.0,3221291776.0,1,16,20,20
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013864825288e+18,-1,467.0,183.0,3221291776.0,1,32,20,20
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013864825288e+18,-1,420.0,184.0,3221291520.0,2,48,15,15
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013864825288e+18,-1,561.0,214.0,3221291520.0,2,48,15,15
